,serial_number,name,area,rating,restaurant_type,votes
69,70,Ranganna Military Hotel,Jayanagar,4.2,"['South Indian', 'Biryani']",1026
70,71,Basil Bistro,HSR,4.5,"['Continental', 'Italian', 'North Indian', 'Chinese']",569
71,72,Indigo X II P,HSR,4.3,"['Finger Food', 'Continental', 'Chinese', 'Italian', 'North Indian']",1001
72,73,LIT Gastro Pub,Jayanagar,4.0,"['Chinese', 'Continental', 'Burger', 'Pizza']",621
73,74,Hammered,HSR,4.4,"['North Indian', 'South Indian', 'Continental', 'Asian']",2152
74,75,Tea Villa Cafe,Jayanagar,4.3,"['Cafe', 'Tea', 'Continental', 'Desserts']",2139
75,76,Crumb Together,JP Nagar,4.2,"['Continental', 'Finger Food', 'North Indian', 'Chinese']",907
76,77,Nandhini Paradise,JP Nagar,3.9,"['Andhra', 'Biryani', 'South Indian', 'North Indian', 'Chinese']",1190
77,78,Pepe's Pizza,Bellandur,4.2,"['Pizza', 'Italian', 'Burger', 'Sandwich', 'Desserts', 'Beverages']",513
78,79,Olive Grove,Electronic City,4.2,"['Continental', 'North Indian', 'Chinese', 'Italian', 'Mughlai', 'Kebab']",251
79,80,Xtreme Sports Bar,Sarjapur Road,4.2,"['Continental', 'Chinese', 'North Indian']",1214
